Model,Dataset,Accuracy
Blue,Words,0.6201642819289878
SemSim,Words,0.6114202437731849
Score,Words,0.6355325914149443
Uncertainty,Words,0.6369899311075782
Blue,Tokens,0.6079787234042553
SemSim,Tokens,0.605718085106383
Score,Tokens,0.6253989361702128
Uncertainty,Tokens,0.6239361702127659
