epoch,batch,avg_reward
1,1,0.1671
1,2,0.2403
1,3,0.1708
1,4,0.2624
1,5,0.2471
1,6,0.3010
1,7,0.1969
1,8,0.1958
1,9,0.2552
1,10,0.2174
1,11,0.1925
1,12,0.2312
1,13,0.2683
1,14,0.2091
1,15,0.2036
1,16,0.1824
1,17,0.2526
1,18,0.2581
1,19,0.3117
1,20,0.1612
1,21,0.1941
1,22,0.2582
1,23,0.1887
1,24,0.3240
1,25,0.2333
1,26,0.2230
1,27,0.2209
1,28,0.2063
1,29,0.1900
1,30,0.2163
1,31,0.2136
1,32,0.1497
1,33,0.2614
1,34,0.2107
1,35,0.1907
1,36,0.2396
1,37,0.2136
1,38,0.2723
